"","library","n.cells","condition"
"1","M1A1","1","spi"
"2","M1A2","1","spi"
"3","M1A3","1","spi"
"4","M1A4","1","spi"
"6","M1A6","10","spi"
"7","M1A7","10","spi"
"8","M1A8","10","spi"
"9","M1A9","10","spi"
"10","M1A10","10","spi"
"11","M1A11","10","spi"
"12","M1A12","10","spi"
"13","M1B1","1","spi"
"14","M1B2","1","spi"
"15","M1B3","1","spi"
"16","M1B4","1","spi"
"18","M1B6","10","spi"
"19","M1B7","10","spi"
"20","M1B8","10","spi"
"21","M1B9","10","spi"
"22","M1B10","10","spi"
"23","M1B11","10","spi"
"24","M1B12","10","spi"
"25","M1C1","1","spi"
"26","M1C2","1","spi"
"27","M1C3","1","spi"
"28","M1C4","1","spi"
"29","M1C5","10","spi"
"30","M1C6","10","spi"
"31","M1C7","10","spi"
"32","M1C8","10","spi"
"33","M1C9","10","spi"
"34","M1C10","10","spi"
"35","M1C11","10","spi"
"36","M1C12","10","spi"
"37","M1D1","1","spi"
"38","M1D2","1","spi"
"39","M1D3","1","spi"
"40","M1D4","1","spi"
"41","M1D5","10","spi"
"42","M1D6","10","spi"
"43","M1D7","10","spi"
"44","M1D8","10","spi"
"45","M1D9","10","spi"
"46","M1D10","10","spi"
"47","M1D11","10","spi"
"48","M1D12","10","spi"
"49","M1E1","1","spi"
"50","M1E2","1","spi"
"51","M1E3","1","spi"
"52","M1E4","1","spi"
"53","M1E5","10","spi"
"54","M1E6","10","spi"
"55","M1E7","10","spi"
"56","M1E8","10","spi"
"57","M1E9","10","spi"
"58","M1E10","10","spi"
"59","M1E11","10","spi"
"60","M1E12","10","spi"
"61","M1F1","1","spi"
"62","M1F2","1","spi"
"63","M1F3","1","spi"
"64","M1F4","1","spi"
"65","M1F5","10","spi"
"66","M1F6","10","spi"
"67","M1F7","10","spi"
"68","M1F8","10","spi"
"69","M1F9","10","spi"
"70","M1F10","10","spi"
"71","M1F11","10","spi"
"72","M1F12","10","spi"
"73","M1G1","1","spi"
"74","M1G2","1","spi"
"75","M1G3","1","spi"
"77","M1G5","10","spi"
"78","M1G6","10","spi"
"79","M1G7","10","spi"
"80","M1G8","10","spi"
"81","M1G9","10","spi"
"82","M1G10","10","spi"
"83","M1G11","10","spi"
"84","M1G12","10","spi"
"85","M1H1","1","spi"
"86","M1H2","1","spi"
"87","M1H3","1","spi"
"89","M1H5","10","spi"
"90","M1H6","10","spi"
"91","M1H7","10","spi"
"92","M1H8","10","spi"
"93","M1H9","10","spi"
"94","M1H10","10","spi"
"95","M1H11","10","spi"
"96","M1H12","10","spi"
"97","M2A1","10","spi"
"98","M2A2","10","spi"
"99","M2A3","10","spi"
"100","M2A4","10","salt"
"101","M2A5","10","salt"
"102","M2A6","10","ana"
"103","M2A7","10","ana"
"104","M2A8","1","salt"
"105","M2A9","1","salt"
"106","M2A10","1","salt"
"107","M2A11","1","ana"
"108","M2A12","1","ana"
"109","M2B1","10","spi"
"110","M2B2","10","spi"
"111","M2B3","10","spi"
"112","M2B4","10","salt"
"113","M2B5","10","salt"
"114","M2B6","10","ana"
"115","M2B7","10","ana"
"116","M2B8","1","salt"
"117","M2B9","1","salt"
"118","M2B10","1","salt"
"119","M2B11","1","ana"
"120","M2B12","1","ana"
"121","M2C1","10","spi"
"122","M2C2","10","spi"
"123","M2C3","10","salt"
"124","M2C4","10","salt"
"125","M2C5","10","salt"
"126","M2C6","10","ana"
"127","M2C7","1","salt"
"128","M2C8","1","salt"
"129","M2C9","1","salt"
"130","M2C10","1","ana"
"131","M2C11","1","ana"
"133","M2D1","10","spi"
"134","M2D2","10","spi"
"135","M2D3","10","salt"
"136","M2D4","10","salt"
"137","M2D5","10","salt"
"138","M2D6","10","ana"
"139","M2D7","1","salt"
"140","M2D8","1","salt"
"141","M2D9","1","salt"
"142","M2D10","1","ana"
"143","M2D11","1","ana"
"145","M2E1","10","spi"
"146","M2E2","10","spi"
"147","M2E3","10","salt"
"148","M2E4","10","salt"
"149","M2E5","10","salt"
"150","M2E6","10","ana"
"151","M2E7","1","salt"
"152","M2E8","1","salt"
"153","M2E9","1","salt"
"154","M2E10","1","ana"
"155","M2E11","1","ana"
"157","M2F1","10","spi"
"158","M2F2","10","spi"
"159","M2F3","10","salt"
"160","M2F4","10","salt"
"161","M2F5","10","salt"
"162","M2F6","10","ana"
"163","M2F7","1","salt"
"164","M2F8","1","salt"
"165","M2F9","1","salt"
"166","M2F10","1","ana"
"167","M2F11","1","ana"
"169","M2G1","10","spi"
"170","M2G2","10","spi"
"171","M2G3","10","salt"
"172","M2G4","10","salt"
"173","M2G5","10","salt"
"174","M2G6","10","ana"
"175","M2G7","1","salt"
"176","M2G8","1","salt"
"177","M2G9","1","salt"
"178","M2G10","1","ana"
"179","M2G11","1","ana"
"180","M2H1","10","spi"
"181","M2H2","10","spi"
"182","M2H3","10","salt"
"183","M2H4","10","salt"
"184","M2H5","10","salt"
"185","M2H6","10","ana"
"186","M2H7","1","salt"
"187","M2H8","1","salt"
"188","M2H9","1","salt"
"189","M2H10","1","ana"
"190","M2H11","1","ana"
"191","M3A1","10","salt"
"192","M3A2","10","salt"
"193","M3A3","10","salt"
"194","M3A4","10","ana"
"195","M3A5","1","ana"
"196","M3A6","1","ana"
"197","M3A7","10","ana"
"199","M3B1","10","salt"
"200","M3B2","10","salt"
"201","M3B3","10","salt"
"202","M3B4","10","ana"
"203","M3B5","1","ana"
"204","M3B6","10","ana"
"205","M3B7","10","ana"
"207","M3C1","10","salt"
"208","M3C2","10","salt"
"209","M3C3","10","salt"
"210","M3C4","10","ana"
"211","M3C5","1","ana"
"212","M3C6","10","ana"
"213","M3C7","10","ana"
"215","M3D1","10","salt"
"216","M3D2","10","salt"
"217","M3D3","10","salt"
"218","M3D4","10","ana"
"219","M3D5","1","ana"
"220","M3D6","10","ana"
"221","M3D7","10","ana"
"223","M3E1","10","salt"
"224","M3E2","10","salt"
"225","M3E3","10","salt"
"226","M3E4","10","ana"
"227","M3E5","1","ana"
"228","M3E6","10","ana"
"229","M3E7","10","ana"
"231","M3F1","10","salt"
"232","M3F2","10","salt"
"233","M3F3","10","salt"
"234","M3F4","1","ana"
"235","M3F5","1","ana"
"236","M3F6","10","ana"
"239","M3G1","10","salt"
"240","M3G2","10","salt"
"241","M3G3","10","ana"
"242","M3G4","1","ana"
"243","M3G5","1","ana"
"244","M3G6","10","ana"
"247","M3H1","10","salt"
"248","M3H2","10","salt"
"249","M3H3","10","ana"
"250","M3H4","1","ana"
"251","M3H5","1","ana"
"252","M3H6","10","ana"
